ID,name,Age,position,Squad,12. MP_Pct,11. Aerial Duels_Won%_Pct,10. TklW90_Pct,9. Blocks90_Pct,8. Passing%_Pct,6. TB90_Pct,7. Crs90_Pct,5. Dribbles_Succ%_Pct,3. SCA90_Pct,2. GCA90_Pct,4. Ast90_Pct,1. Gls90_Pct
2019_Fredy Montero_Vancouver,Fredy Montero,31,FW,Vancouver,0.9524128686327078,0.20869565217391303,0.4713114754098361,0.16298811544991512,0.07925801011804384,0.6181972789115646,0.7027397260273973,0.5613718411552346,0.66890756302521,0.6773109243697479,0.6379542395693136,0.8619302949061662
2019_Andrés Ríos_San Jose,Andrés Ríos,29,FW,San Jose,0.3746648793565684,0.6965217391304348,0.6980874316939891,0.28098471986417656,0.6079258010118044,0.9132653061224489,0.536986301369863,0.6191335740072202,0.9764705882352941,0.1495798319327731,0.24629878869448182,0.8572386058981233
2019_Daniel Lovitz_Montreal,Daniel Lovitz,27,"DF-MF (FB-WM, left)",Montreal,0.8324396782841823,0.7895652173913044,0.6898907103825137,0.5229202037351444,0.21922428330522767,0.5688775510204082,0.8034246575342465,0.44765342960288806,0.42100840336134454,0.5058823529411764,0.5242261103633916,0.2479892761394102
2019_Rod Fanni_Montreal,Rod Fanni,37,"DF (CB-FB, right)",Montreal,0.14075067024128687,0.38782608695652177,0.27937158469945356,0.8964346349745331,0.6956155143338955,0.22874149659863946,0.07876712328767123,0.20487364620938628,0.20252100840336135,0.7210084033613445,0.24629878869448182,0.2479892761394102
2019_Axel Sjöberg_Colorado,Axel Sjöberg,27,DF (CB),Colorado,0.2761394101876676,0.7678260869565218,0.3790983606557377,0.7640067911714771,0.9333895446880269,0.22874149659863946,0.07876712328767123,0.9494584837545126,0.12773109243697478,0.7974789915966387,0.24629878869448182,0.2479892761394102
2019_Harold Santiago Mosquera_FC Dallas,Harold Santiago Mosquera,23,FW-MF,FC Dallas,0.6977211796246648,0.1991304347826087,0.7786885245901639,0.28098471986417656,0.2133220910623946,0.8367346938775511,0.8575342465753425,0.6498194945848376,0.7579831932773109,0.8420168067226891,0.6164199192462988,0.7801608579088471
2019_Lass Bangoura_Vancouver,Lass Bangoura,26,FW-MF (WM),Vancouver,0.5509383378016086,0.6965217391304348,0.3907103825136612,0.12139219015280135,0.3296795952782462,0.9404761904761905,0.7253424657534246,0.40252707581227437,0.6588235294117647,0.8159663865546218,0.7409152086137282,0.6695710455764075
2019_Michael Bradley_Toronto FC,Michael Bradley,31,MF (CM-DM),Toronto FC,0.8009383378016086,0.9147826086956522,0.7226775956284153,0.2631578947368421,0.8802698145025295,0.5850340136054422,0.34863013698630135,0.7030685920577617,0.6210084033613446,0.5243697478991597,0.5242261103633916,0.6387399463806971
2019_Andrew Farrell_New England,Andrew Farrell,26,"DF (CB-FB, right)",New England,0.863941018766756,0.6104347826086957,0.4207650273224044,0.48896434634974534,0.3178752107925801,0.6632653061224489,0.3178082191780822,0.4223826714801444,0.11008403361344538,0.30084033613445377,0.5013458950201884,0.2479892761394102
2019_Lawrence Olum_Minnesota,Lawrence Olum,34,DF-MF (DM),Minnesota,0.3746648793565684,0.34782608695652173,0.1830601092896175,0.5806451612903226,0.6854974704890388,0.7772108843537415,0.07876712328767123,0.7770758122743683,0.40672268907563025,0.8747899159663866,0.7671601615074024,0.2479892761394102
2019_Emil Cuello_LA Galaxy,Emil Cuello,21,MF,LA Galaxy,0.3424932975871314,0.5547826086956522,0.9685792349726776,0.7368421052631579,0.17622259696458684,0.9455782312925171,0.7150684931506849,0.1092057761732852,0.8932773109243698,0.8420168067226891,0.9919246298788694,0.2479892761394102
2019_Josué Colmán_Orlando City,Josué Colmán,20,MF,Orlando City,0.306970509383378,0.03217391304347826,0.5642076502732241,0.3616298811544992,0.275716694772344,0.9974489795918368,0.6876712328767123,0.9494584837545126,0.9966386554621849,0.9915966386554622,0.9838492597577388,0.2479892761394102
2019_Paul Marie_San Jose,Paul Marie,23,DF,San Jose,0.3424932975871314,0.34782608695652173,0.9166666666666666,0.8862478777589134,0.3111298482293423,0.22874149659863946,0.8684931506849315,0.6904332129963899,0.5722689075630252,0.6226890756302521,0.8896366083445492,0.2479892761394102
2019_Shandon Hopeau_Seattle,Shandon Hopeau,20,"FW-MF (AM, right)",Seattle,0.036193029490616625,0.9869565217391304,0.0389344262295082,0.02631578947368421,0.6500843170320405,0.22874149659863946,0.07876712328767123,,0.03529411764705882,0.1495798319327731,0.24629878869448182,0.2479892761394102
2019_Jack Elliott_Philadelphia,Jack Elliott,23,"DF (CB, right)",Philadelphia,0.9912868632707775,0.9165217391304348,0.5327868852459017,0.7707979626485568,0.6854974704890388,0.22874149659863946,0.23424657534246576,0.8790613718411552,0.22268907563025211,0.4680672268907563,0.24629878869448182,0.5663538873994638
2019_Harry Shipp_Seattle,Harry Shipp,27,FW-MF (AM),Seattle,0.7459785522788204,0.38782608695652177,0.3121584699453552,0.2563667232597623,0.5876897133220911,0.8639455782312925,0.5246575342465754,0.4675090252707581,0.8420168067226891,0.7789915966386555,0.5895020188425303,0.8572386058981233
2019_A.J. DeLaGarza_Houston,A.J. DeLaGarza,31,"DF (FB, right)",Houston,0.6977211796246648,0.5008695652173913,0.44808743169398907,0.5602716468590832,0.6079258010118044,0.5017006802721088,0.4636986301369863,0.6191335740072202,0.1957983193277311,0.32521008403361346,0.5477792732166891,0.2479892761394102
2019_Derek Cornelius_Vancouver,Derek Cornelius,21,DF-FW,Vancouver,0.5509383378016086,0.7347826086956522,0.5,0.8811544991511036,0.6956155143338955,0.22874149659863946,0.07876712328767123,0.9494584837545126,0.1361344537815126,0.33949579831932775,0.24629878869448182,0.5663538873994638
2019_João Moutinho_Orlando City,João Moutinho,21,DF,Orlando City,0.5180965147453083,0.7982608695652174,0.7479508196721312,0.9134125636672326,0.2327150084317032,0.826530612244898,0.9232876712328767,0.20487364620938628,0.49495798319327733,0.6773109243697479,0.753028263795424,0.2479892761394102
2019_Russell Canouse_D.C. United,Russell Canouse,23,MF,D.C. United,0.7734584450402144,0.4834782608695652,0.924863387978142,0.9405772495755518,0.8094435075885329,0.48639455782312924,0.25616438356164384,0.26534296028880866,0.27058823529411763,0.31176470588235294,0.24629878869448182,0.2479892761394102
2019_Ebenezer Ofori_NYCFC,Ebenezer Ofori,23,DF-MF (FB),NYCFC,0.628686327077748,0.41043478260869565,0.9282786885245902,0.8073005093378608,0.9376053962900506,0.22874149659863946,0.18493150684931506,0.8754512635379061,0.4789915966386555,0.5899159663865546,0.24629878869448182,0.6695710455764075
2019_Nick DeLeon_Toronto FC,Nick DeLeon,28,DF-MF,Toronto FC,0.9524128686327078,0.5547826086956522,0.6639344262295082,0.5636672325976231,0.663575042158516,0.5144557823129252,0.7054794520547946,0.30324909747292417,0.6294117647058823,0.6016806722689075,0.5477792732166891,0.8277479892761395
2019_Bastian Schweinsteiger_Chicago,Bastian Schweinsteiger,34,DF-MF (CB),Chicago,0.8954423592493298,0.7956521739130434,0.5423497267759563,0.5585738539898133,0.8524451939291737,0.814625850340136,0.27671232876712326,0.8158844765342961,0.33277310924369746,0.453781512605042,0.6608344549125168,0.5033512064343163
2019_Julian Araujo_LA Galaxy,Julian Araujo,17,DF,LA Galaxy,0.5844504021447721,0.8391304347826087,0.8360655737704918,0.9117147707979627,0.24536256323777403,0.6530612244897959,0.8972602739726028,0.3601083032490975,0.4151260504201681,0.5436974789915966,0.6608344549125168,0.2479892761394102
